Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
4945_at	YGR064W questionable ORF	---	---	YGR064W	P53240	S000003296
4946_at	YGR065C similarity to P.putida phthalate transporter	High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin	VHT1	YGR065C	P53241 /// Q45U22	S000003297
4947_at	YGR066C similarity to hypothetical protein YBR105c	---	---	YGR066C	P53242 /// Q45U21 /// Q6B2W2	S000003298
4948_at	YGR067C weak similarity to transcription factors	---	---	YGR067C	P53243	S000003299
4949_at	YGR068C weak similarity to Rod1p	Protein proposed to regulate the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane	ART5	YGR068C	P53244	S000003300
4950_at	YGR069W questionable ORF	---	---	YGR069W	P53245	S000003301
4951_at	YGR070W GDP-GTP Exchange Protein (GEP) for the Rho1p Small GTP-binding Protein	"GDP/GTP exchange protein (GEP) for Rho1p; mutations are synthetically lethal with mutations in rom2, which also encodes a GEP"	ROM1	YGR070W	P53046 /// Q45U20	S000003302
4952_at	YGR071C similarity to hypothetical protein YLR373c	---	---	YGR071C	P53246	S000003303
4953_at	YGR072W factor stimulating decay of mRNAs containing premature stop codons\; acts with Nmd2p and Nam7p	"Component of the nonsense-mediated mRNA decay (NMD) pathway, along with Nam7p and Nmd2p; involved in decay of mRNA containing nonsense codons; involved in telomere maintenance"	UPF3	YGR072W	P48412 /// Q6B2I0	S000003304
4954_at	YGR073C questionable ORF	---	---	YGR073C	P53247	S000003305
4955_at	"YGR074W Homolog of human core snRNP protein D1, involved in snRNA maturation"	"Core Sm protein Sm D1; part of heteroheptameric complex (with Smb1p, Smd2p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D1"	SMD1	YGR074W	Q02260	S000003306
4956_at	YGR028W 40 kDa putative membrane-spanning ATPase	Mitochondrial protein involved in sorting of proteins in the mitochondria; putative membrane-spanning ATPase	MSP1	YGR028W	P28737	S000003260
4957_at	YGR030C integral subunit of RNase P and apparent subunit of RNase MRP	"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends"	POP6	YGR030C	P53218 /// Q45U55	S000003262
4958_at	YGR031W similarity to hypothetical protein YGR015c and weak similarity H.influenzae dihydrolipoamide acetyltransferase	---	---	YGR031W	P53219	S000003263
4959_at	"YGR032W catalytic component of 1,3-beta-D-glucan synthase"	"Catalytic subunit of 1,3-beta-glucan synthase, involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; has similarity to an alternate catalytic subunit, Fks1p (Gsc1p)"	GSC2	YGR032W	P40989	S000003264
4960_at	YGR033C hypothetical protein	Constituent of the mitochondrial inner membrane presequence translocase (TIM23 complex); may regulate protein import by binding to both the translocase of the outer membrane (TOM) and presequence-associated motor (PAM) complexes	TIM21	YGR033C	P53220	S000003265
4961_at	YGR035C hypothetical protein	---	---	YGR035C	P53222 /// Q45U49	S000003267
4962_at	"YGR036C Cwh8p contains 3 short stretches of amino acids that are characteristic for a wide variety of phosphatases, including lipid phosphatases and a protein phosphatase."	"Dolichyl pyrophosphate (Dol-P-P) phosphatase with a luminally oriented active site in the ER, cleaves the anhydride linkage in Dol-P-P, required for Dol-P-P-linked oligosaccharide intermediate synthesis and protein N-glycosylation"	CAX4	YGR036C	P53223	S000003268
4963_at	YGR037C Acyl-CoA-binding protein (ACBP)\/Diazepam binding inhibitor (DBI)\/endozepine (EP)	"Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes"	ACB1	YGR037C	P31787	S000003269
4964_at	YGR038W strong similarity to hypothetical protein YLR350w	"Evolutionarily conserved protein with similarity to Orm2p, required for resistance to agents that induce the unfolded protein response; human ortholog is located in the endoplasmic reticulum"	ORM1	YGR038W	P53224 /// Q45U45	S000003270
4965_at	YGR039W questionable ORF	---	---	YGR039W	P53225	S000003271
4966_at	YGR040W MAP protein kinase homolog involved in pheromone signal transduction	Mitogen-activated protein kinase (MAPK) involved in signal transduction pathways that control filamentous growth and pheromone response; the KSS1 gene is nonfunctional in S288C strains and functional in W303 strains	KSS1	YGR040W	P14681	S000003272
4967_at	YGR041W Among a group of genes whose products are necessary for bud-site selection\; likely involvement in positioning the proximal pole signal	"Protein involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern, and bud at the distal pole"	BUD9	YGR041W	P53226 /// Q45U42	S000003273
4968_at	YGR042W hypothetical protein	---	---	YGR042W	P53227 /// Q45U41	S000003274
4969_at	YGR043C strong similarity to transaldolase	Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift	NQM1	YGR043C	P53228 /// Q45U40 /// Q6Q5P8	S000003275
4970_at	YGR044C zinc finger protein\; negative regulator of meiosis\; directly repressed by a1-a2 regulator	Zinc finger protein involved in control of meiosis; prevents meiosis by repressing IME1 expression and promotes mitosis by activating CLN2 expression; directly repressed by a1-a2 regulator; mediates cell type control of sporulation	RME1	YGR044C	P32338 /// Q45T96 /// Q45T97 /// Q45T99 /// Q45TA7	S000003276
4971_at	YGR045C questionable ORF	---	---	YGR045C	P53229	S000003277
4972_at	YGR046W hypothetical protein	Mitochondrial protein involved in protein import into the mitochondrial matrix; maintains the functional integrity of the TIM23 protein translocator complex; viability of null mutant is strain-dependent; mRNA is targeted to the bud	TAM41	YGR046W	P53230	S000003278
4973_at	YGR047C transcription factor tau (TFIIIC) subunit 131	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102	TFC4	YGR047C	P33339	S000003279
4974_at	YGR048W ubiquitin fusion degradation protein	"Protein that interacts with Cdc48p and Npl4p, involved in recognition of polyubiquitinated proteins and their presentation to the 26S proteasome for degradation; involved in transporting proteins from the ER to the cytosol"	UFD1	YGR048W	P53044	S000003280
4975_at	YGR049W Protein that suppresses ts allele of CDC4 when overexpressed	"Potential regulatory effector of CDC4 function, suppresses a temperature-sensitive allele of CDC4, tripartite protein structure in which a charged region separates two uncharged domains, not essential for mitosis or meiosis"	SCM4	YGR049W	P32564	S000003281
4976_at	YGR050C questionable ORF	---	---	YGR050C	P53231	S000003282
4977_at	YGR051C questionable ORF	---	---	YGR051C	P53232	S000003283
4978_at	YGR052W similarity to ser/thr protein kinases	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation"	FMP48	YGR052W	P53233 /// Q45U34	S000003284
4979_at	YGR007W choline phosphate cytidylyltransferase (also called phosphoethanolamine cytidylyltransferase or phosphocholine cytidylyltransferase)	"Choline phosphate cytidylyltransferase, catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases"	MUQ1	YGR007W	P33412	S000003239
4980_at	YGR008C ATPase stabilizing factor	Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein	STF2	YGR008C	P16965	S000003240
4981_at	YGR009C Putative t-SNARE of the plasma membrane	t-SNARE protein important for fusion of secretory vesicles with the plasma membrane; similar to but not functionally redundant with Spo20p; SNAP-25 homolog	SEC9	YGR009C	P40357	S000003241
4982_at	YGR010W strong similarity to hypothetical protein YLR328w	"Nicotinic acid mononucleotide adenylyltransferase, involved in de novo and salvage synthesis of NAD(+)"	NMA2	YGR010W	P53204	S000003242
4983_g_at	YGR010W strong similarity to hypothetical protein YLR328w	"Nicotinic acid mononucleotide adenylyltransferase, involved in de novo and salvage synthesis of NAD(+)"	NMA2	YGR010W /// YGR011W	P53204 /// P53205	S000003242 /// S000003243
4984_at	YGR011W questionable ORF	---	---	YGR011W	P53205	S000003243
4985_at	YGR012W similarity to E.nidulans cysteine synthase	---	---	YGR012W	P53206	S000003244
4986_at	"YGR013W Associated with U1 snRNP (no counterpart in mammalian U1 snRNP. Contains few SR-, RE- and RD-dipeptides."	"Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart"	SNU71	YGR013W	P53207	S000003245
4987_at	YGR014W putative integral membrane protein	Mucin family member involved in the Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; also functions as an osmosensor in parallel to the Sho1p-mediated pathway; potential Cdc28p substrate	MSB2	YGR014W	P32334	S000003246
4988_at	YGR015C similarity to hypothetical protein YGR031w	---	---	YGR015C	P53208	S000003247
4989_at	YGR016W weak similarity to M.jannaschii hypothetical protein MJ1317	---	---	YGR016W	P53209	S000003248
4990_at	YGR017W hypothetical protein	---	---	YGR017W	P53210	S000003249
4991_at	YGR018C questionable ORF	---	---	YGR018C	P53211	S000003250
4992_at	YGR019W gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)	Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization	UGA1	YGR019W	A5H0J7 /// P17649	S000003251
4993_at	YGR020C Vacuolar H-ATPase 14 kDa subunit (subunit F) of the catalytic (V1) sector	"Subunit F of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane"	VMA7	YGR020C	P39111	S000003252
4994_at	YGR021W similarity to M.leprae yfcA protein	---	---	YGR021W	P53212	S000003253
4995_at	YGR022C questionable ORF	---	---	YGR022C	P53213	S000003254
4996_at	YGR023W acts in concert with Mid2p to transduce cell wall stress signals	"Protein with both structural and functional similarity to Mid2p, which is a plasma membrane sensor required for cell integrity signaling during pheromone-induced morphogenesis; suppresses rgd1 null mutations"	MTL1	YGR023W	P53214	S000003255
4997_at	YGR024C weak similarity to Methanobacterium thermoautotrophicum hypothetical protein MTH972	"tRNAHis guanylyltransferase, adds a guanosine residue to the 5' end of tRNAHis after transcription and RNase P cleavage; couples nuclear division and migration to cell budding and cytokinesis; essential enzyme conserved among eukaryotes"	THG1	YGR024C	P53215	S000003256
4998_at	YGR025W questionable ORF	---	---	YGR025W	P53216	S000003257
4999_at	YGR026W hypothetical protein	---	---	YGR026W	P53217 /// Q45U57	S000003258
5000_i_at	YGR027C Ribosomal protein S25A (S31A) (rp45) (YS23)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Bp and has similarity to rat S25 ribosomal protein	RPS25A	YGR027C	Q3E792	S000003259
5001_f_at	YGR027C Ribosomal protein S25A (S31A) (rp45) (YS23)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Bp and has similarity to rat S25 ribosomal protein	RPS25A	YGR027C	Q3E792	S000003259
5002_at	YGL015C hypothetical protein	---	---	YGL015C	P33199	S000002983
5003_at	YGL014W similarity to Drosophila pumilio protein and Mpt5p protein	"Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"	PUF4	YGL014W	P25339	S000002982
5004_at	YGL013C zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type	Zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes	PDR1	YGL013C	P12383	S000002981
5005_at	YGL012W Sterol C-24 reductase	"C-24(28) sterol reductase, catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol"	ERG4	YGL012W	P25340 /// Q6B175	S000002980
5006_at	YGL011C Proteasome subunit YC7alpha\/Y8 (protease yscE subunit 7)	Alpha 1 subunit of the 20S proteasome involved in the degradation of ubiquitinated substrates; 20S proteasome is the core complex of the 26S proteasome; essential for growth; detected in the mitochondria	SCL1	YGL011C	P21243	S000002979
5007_at	YGL010W similarity to hypothetical S. pombe protein	---	---	YGL010W	P25338	S000002978
5008_at	YGL009C isopropylmalate isomerase	"Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway"	LEU1	YGL009C	P07264	S000002977
5009_at	YGL008C plasma membrane H+-ATPase	"Plasma membrane H+-ATPase, pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; part of the P2 subgroup of cation-transporting ATPases"	PMA1	YGL008C	P05030	S000002976
5010_at	YGL007W questionable ORF	"Dubious ORF located in the upstream region of PMA1, deletion leads to polyamine resistance due to downregulation of PMA1"	BRP1	YGL007W	P53194	S000002975
5011_at	YGL006W putative vacuolar Ca2+ ATPase	Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a	PMC1	YGL006W	P38929	S000002974
5012_at	YGL005C weak similarity to Xenopus kinesin-related protein Eg5	"Component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"	COG7	YGL005C	P53195 /// Q6B1E9	S000002973
5013_at	YGL004C weak similarity to Tup1p	Putative non-ATPase subunit of the 19S regulatory particle of the 26S proteasome; null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p; localizes to the cytoplasm	RPN14	YGL004C	P53196	S000002972
5014_at	YGL003C protein required for Clb2 and Ase1 degradation	"Cell-cycle regulated activator of the anaphase-promoting complex/cyclosome (APC/C), which directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p"	CDH1	YGL003C	P53197	S000002971
5015_at	YGL002W p24 protein involved in membrane trafficking	"Protein with similarity to Emp24p and Erv25p, member of the p24 family involved in ER to Golgi transport; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	ERP6	YGL002W	P53198 /// Q6B1K5	S000002970
5016_at	YGL001C putative 3-beta-hydroxysteroid dehydrogenase	"C-3 sterol dehydrogenase, catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis"	ERG26	YGL001C	P53199	S000002969
5017_at	YGR001C similarity to C.elegans hypothetical M142.5 protein	---	---	YGR001C	P53200	S000003233
5018_at	YGR001C similarity to C.elegans hypothetical M142.5 protein	---	---	YGR001C	P53200	S000003233
5019_at	YGR002C similarity to hypothetical S. pombe protein	Component of the Swr1p complex that incorporates Htz1p into chromatin; component of the NuA4 histone acetyltransferase complex	SWC4	YGR002C	P53201	S000003234
5020_at	YGR003W similarity to D.melanogaster lin19 protein	"Ubiquitin-protein ligase, member of the cullin family with similarity to Cdc53p and human CUL3; required for ubiquitin-dependent degredation of the RNA Polymerase II subunit RPO21"	CUL3	YGR003W	P53202	S000003235
5021_at	YGR004W strong similarity to hypothetical protein YLR324w	"Peroxisomal integral membrane protein, involved in negative regulation of peroxisome size; partially functionally redundant with Pex30p and Pex32p; probably acts at a step downstream of steps mediated by Pex28p and Pex29p"	PEX31	YGR004W	P53203	S000003236
5022_at	YGR005C transcription initiation factor TFIIF middle subunit	TFIIF (Transcription Factor II) middle subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP30	TFG2	YGR005C	P41896	S000003237
5023_at	YGR006W RNA splicing factor associated with U5 snRNP	"Splicing factor involved in the positioning of the 3' splice site during the second catalytic step of splicing, part of snRNP U5, interacts with Slu7p"	PRP18	YGR006W	P33411	S000003238
5024_at	YGL038C membrane-bound mannosyltransferase	"Mannosyltransferase of the cis-Golgi apparatus, initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins"	OCH1	YGL038C	P31755	S000003006
5025_at	YGL037C similarity to E.coli hypothetical 23K protein	"Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span"	PNC1	YGL037C	P53184	S000003005
5026_at	YGL036W Mtf1 Two Hybrid Clone 2	---	---	YGL036W	P53185	S000003004
5027_at	YGL035C C2H2 zinc finger protein which resembles the mammalian Egr and Wilms tumour proteins	Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase	MIG1	YGL035C	P27705	S000003003
5028_at	YGL034C questionable ORF	---	---	YGL034C	P53186	S000003002
5029_at	YGL033W Meiosis-specific gene required for the pairing of homologous chromosomes	"Meiosis-specific protein that localizes to chromosomes, preventing synapsis between nonhomologous chromosomes and ensuring synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair"	HOP2	YGL033W	P53187	S000003001
5030_at	YGL032C adhesion subunit of a-agglutinin	"Adhesion subunit of a-agglutinin of a-cells, C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds"	AGA2	YGL032C	P32781	S000003000
5031_at	YGL031C Ribosomal protein L24A (rp29) (YL21) (L30A)	"Ribosomal protein L30 of the large (60S) ribosomal subunit, nearly identical to Rpl24Bp and has similarity to rat L24 ribosomal protein; not essential for translation but may be required for normal translation rate"	RPL24A	YGL031C	P04449	S000002999
5032_at	YGL030W Large ribosomal subunit protein L30 (L32) (rp73) (YL38)	"Protein component of the large (60S) ribosomal subunit, has similarity to rat L30 ribosomal protein; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript"	RPL30	YGL030W	P14120	S000002998
5033_at	YGL029W weak similarity to human chromatin assembly factor I p150 chain	Protein involved in nucleolar integrity and processing of the pre-rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress	CGR1	YGL029W	P53188	S000002997
5034_at	YGL028C glucanase gene family member	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p	SCW11	YGL028C	P53189	S000002996
5035_at	YGL027C glucosidase I	"Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress"	CWH41	YGL027C	P53008	S000002995
5036_at	YGL026C tryptophan synthetase	"Tryptophan synthase involved in tryptophan biosynthesis, regulated by the general control system of amino acid biosynthesis"	TRP5	YGL026C	P00931	S000002994
5037_at	"YGL025C Probable transcription factor, polyglutamine domain protein"	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor	PGD1	YGL025C	P40356	S000002993
5038_at	YGL024W questionable ORF	---	---	YGL024W	P53190	S000002992
5039_at	YGL023C weak similarity to Vsp27p	"Protein binding phosphatidylinositol 3-phosphate, involved in telomere-proximal repression of gene expression; similar to Fab1 and Vps27"	PIB2	YGL023C	P53191 /// Q6B212	S000002991
5040_at	YGL022W required for protein glycosylation	"Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis"	STT3	YGL022W	P39007	S000002990
5041_at	YGL021W DNA damage-responsive protein	Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk2p and to mammalian haspins	ALK1	YGL021W	P43633	S000002989
5042_at	YGL020C hypothetical protein	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance	GET1	YGL020C	P53192	S000002988
5043_at	YGL019W beta (38kDa) subunit of casein kinase II (CKII)	"Beta regulatory subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA1, CKA2 and CKB2, the many substrates include transcription factors and all RNA polymerases"	CKB1	YGL019W	P43639	S000002987
5044_at	YGL018C Homolog of E. coli Hsc20 co-chaperone protein	"Specialized J-protein that functions with Hsp70 in Fe-S cluster biogenesis in mitochondria, involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix"	JAC1	YGL018C	P53193	S000002986
5045_at	YGL017W arginyl-tRNA-protein transferase	"Arginyl-tRNA-protein transferase, catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway"	ATE1	YGL017W	P16639	S000002985
5046_at	YGL016W pleiotropic drug resistance regulatory protein	"Karyopherin beta, responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"	KAP122	YGL016W	P32767	S000002984
5047_at	YGL060W strong similarity to hypothetical protein YBR216c	Central kinetochore associated protein that mediates mitotic progression; interacts with several central kinetochore proteins and the centromeric histone Cse4p; role in resistance to oxidative stress; similarity to Ybp1p and Slk19p	YBP2	YGL060W	P53169	S000003028
5048_at	YGL059W similarity to rat branched-chain alpha-ketoacid dehydrogenase kinase	Mitochondrial protein kinase that negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p	PKP2	YGL059W	P53170	S000003027
5049_at	"YGL058W ubiquitin conjugating (E2) enzyme, separate domains of Rad6p interact with Ubr1 (an E3 ubiquitin ligase needed for multiubiquitination), and Rad18p (a single-stranded DNA-binding protein). The C-terminal 23 residues are critical for sporulation and histone polyubiquitinating activity, but not UV repair or induced mutagenesis."	"Ubiquitin-conjugating enzyme (E2), involved in postreplication repair (with Rad18p), sporulation, telomere silencing, and ubiquitin-mediated N-end rule protein degradation (with Ubr1p)"	RAD6	YGL058W	P06104	S000003026
5050_at	YGL057C hypothetical protein	---	---	YGL057C	P53171	S000003025
5051_at	YGL056C homologue of pombe SDS23\; localizes to spindle pole body	"One of two S. cerevisiae homologs (Sds23p and Sds24p) of the Schizosaccharomyces pombe Sds23 protein, which genetic studies have implicated in APC/cyclosome regulation"	SDS23	YGL056C	P53172	S000003024
5052_at	YGL055W delta-9-fatty acid desaturase	"Delta(9) fatty acid desaturase, required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria"	OLE1	YGL055W	P21147 /// Q6B1S0	S000003023
5053_at	YGL054C strong similarity to D.melagonaster cni protein	"Protein localized to COPII-coated vesicles, involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p to cell surface; related to Drosophila cornichon"	ERV14	YGL054C	P53173	S000003022
5054_at	"YGL053W strong similarity to hypothetical proteins YAR031w, YGL051w, YAR028w, YAR033w and YCR007c"	"Pheromone-regulated protein with 2 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; forms a complex with Prp9p in the ER; member of DUP240 gene family"	PRM8	YGL053W	P53174 /// Q70DY2	S000003021
5055_at	YGL052W questionable ORF	---	---	YGL052W	P53175	S000003020
5056_at	YGL051W strong similarity to YAR033w protein	"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst28p; member of DUP240 gene family; binds COPI and COPII vesicles"	MST27	YGL051W	P53176 /// Q70CH8 /// Q70DY1	S000003019
5057_at	YGL050W hypothetical protein	"tRNA methyltransferase required for synthesis of wybutosine, a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions"	TYW3	YGL050W	P53177	S000003018
5058_at	"YGL049C mRNA cap-binding protein (eIF-4F), 130K subunit"	"Translation initiation factor eIF4G, subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); homologous to Tif4631p"	TIF4632	YGL049C	P39936	S000003017
5059_at	YGL048C ATPase	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle	RPT6	YGL048C	Q01939	S000003016
5060_at	YGL047W similarity to hypothetical S. pombe protein	"Catalytic component of UDP-GlcNAc transferase, required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases"	ALG13	YGL047W	P53178	S000003015
5061_at	YGL046W hypothetical protein	"Protein of unknown function, involved in the proteolytic activation of Rim101p in response to alkaline pH; has similarity to A. nidulans PalF; essential for anaerobic growth"	RIM8	YGL045W	P53179	S000003013
5062_at	YGL045W hypothetical protein	"Protein of unknown function, involved in the proteolytic activation of Rim101p in response to alkaline pH; has similarity to A. nidulans PalF; essential for anaerobic growth"	RIM8	YGL045W	P53179	S000003013
5063_at	YGL044C component of the cleavage and polyadenylation factor CF I involved in pre-mRNA 3'-end processing	Cleavage and polyadenylation factor I (CF I) component involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p	RNA15	YGL044C	P25299	S000003012
5064_at	YGL043W RNA polymerase II elongation factor	"General transcription elongation factor TFIIS, enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites"	DST1	YGL043W	P07273	S000003011
5065_at	YGL042C questionable ORF	---	---	YGL042C	P53181	S000003010
5066_at	YGL041C weak similarity to YJL109c	---	---	YGL041C	P53182	S000003009
5067_at	YGL040C delta-aminolevulinate dehydratase (porphobilinogen synthase)	"Delta-aminolevulinate dehydratase, a homo-octameric enzyme, catalyzes the conversion of delta-aminolevulinic acid to porphobilinogen, the second step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus"	HEM2	YGL040C	P05373	S000003008
5068_at	YGL039W similarity to V. vinifera dihydroflavonol reductase	---	---	YGL039W	P53183	S000003007
5069_at	YGL082W strong similarity to hypothetical protein YPL191c	---	---	YGL082W	P53155 /// Q6Q536	S000003050
5070_at	YGL081W hypothetical protein	---	---	YGL081W	P53156	S000003049
5071_at	YGL080W strong similarity to C.elegans R07E5.13 protein	"Putative protein of unknown function; highly conserved across species and orthologous to human gene BRP44L; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	FMP37	YGL080W	P53157	S000003048
5072_at	YGL079W hypothetical protein	---	---	YGL079W	P53158	S000003047
5073_at	YGL078C ATP-dependent RNA helicase CA3 of the DEAD\/DEAH box family	Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis	DBP3	YGL078C	P20447	S000003046
5074_at	YGL077C Transporter (permease) for choline and nitrogen mustard\; share homology with UGA4	Choline/ethanolamine transporter; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol	HNM1	YGL077C	P19807	S000003045
5075_i_at	YGL076C Ribosomal protein L7A (L6A) (rp11) (YL8)	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"	RPL7A	YGL076C	P05737	S000003044
5076_f_at	YGL076C Ribosomal protein L7A (L6A) (rp11) (YL8)	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"	RPL7A	YGL076C	P05737	S000003044
